Fatal (Y/N),Day period
N,Afternoon
N,Afternoon
N,Morning
Y,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Morning
N,Morning
N,Morning
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Night
N,Morning
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Night
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
Y,Night
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Night
N,Afternoon
N,Afternoon
N,Morning
Y,Morning
N,Morning
N,Morning
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Night
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Morning
N,Morning
N,Morning
Y,Afternoon
N,Afternoon
N,Afternoon
N,Morning
Y,Morning
N,Afternoon
N,Afternoon
N,Afternoon
Y,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Morning
Y,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Morning
N,Morning
N,Morning
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
Y,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Night
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Morning
Y,Morning
N,Morning
N,Afternoon
Y,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Morning
Y,Morning
N,Morning
N,Afternoon
N,Morning
N,Afternoon
Y,Afternoon
N,Afternoon
N,Night
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Morning
N,Afternoon
N,Morning
N,Morning
N,Morning
N,Morning
N,Morning
N,Morning
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Morning
N,Afternoon
Y,Morning
N,Morning
N,Night
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
Y,Morning
N,Afternoon
N,Morning
N,Morning
Y,Morning
N,Morning
N,Afternoon
N,Morning
N,Morning
N,Morning
N,Morning
Y,Afternoon
Y,Morning
N,Morning
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Morning
Y,Morning
N,Morning
N,Morning
Y,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Morning
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Morning
Y,Morning
N,Afternoon
N,Afternoon
N,Night
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Morning
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Afternoon
Y,Morning
Y,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Night
Y,Afternoon
N,Night
N,Morning
N,Morning
N,Morning
N,Afternoon
N,Afternoon
Y,Morning
Y,Afternoon
N,Afternoon
Y,Morning
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
Y,Morning
N,Morning
N,Morning
N,Afternoon
N,Morning
N,Morning
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Night
N,Night
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
Y,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Morning
Y,Afternoon
N,Afternoon
Y,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Night
N,Afternoon
Y,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Morning
Y,Morning
N,Morning
Y,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Morning
Y,Morning
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Afternoon
Y,Morning
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
Y,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
Y,Afternoon
Y,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Morning
N,Afternoon
Y,Afternoon
N,Afternoon
Y,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
Y,Afternoon
N,Night
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Morning
Y,Afternoon
N,Afternoon
Y,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
Y,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
Y,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Morning
N,Afternoon
Y,Morning
N,Afternoon
N,Night
N,Afternoon
N,Night
Y,Afternoon
N,Afternoon
Y,Afternoon
N,Night
N,Morning
N,Afternoon
N,Afternoon
N,Night
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
Y,Afternoon
Y,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
Y,Morning
N,Afternoon
Y,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
Y,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
Y,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
Y,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
Y,Morning
N,Night
N,Afternoon
N,Afternoon
N,Afternoon
Y,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Morning
Y,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Night
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Night
N,Morning
Y,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
Y,Afternoon
N,Afternoon
N,Afternoon
N,Night
N,Morning
Y,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Morning
N,Morning
N,Afternoon
N,Morning
N,Morning
Y,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
Y,Night
Y,Afternoon
N,Afternoon
Y,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Morning
Y,Morning
N,Night
N,Night
N,Morning
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Afternoon
Y,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Night
Y,Morning
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Morning
N,Morning
N,Afternoon
N,Afternoon
Y,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Morning
Y,Morning
N,Afternoon
N,Night
N,Morning
N,Morning
Y,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
Y,Night
N,Morning
N,Afternoon
Y,Afternoon
N,Morning
N,Morning
N,Morning
N,Morning
Y,Morning
N,Morning
N,Afternoon
Y,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Morning
Y,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Night
N,Morning
N,Morning
Y,Afternoon
Y,Morning
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Night
N,Afternoon
N,Morning
N,Night
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Night
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
Y,Morning
N,Night
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Morning
Y,Afternoon
N,Morning
N,Morning
N,Night
N,Morning
N,Morning
N,Night
N,Morning
Y,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Afternoon
Y,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
Y,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
Y,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
Y,Afternoon
N,Afternoon
N,Afternoon
N,Night
N,Morning
Y,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Night
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Morning
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
Y,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
Y,Afternoon
N,Morning
N,Morning
N,Night
N,Morning
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Morning
Y,Morning
Y,Afternoon
N,Morning
N,Afternoon
N,Morning
Y,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Morning
N,Night
N,Morning
N,Afternoon
N,Morning
N,Afternoon
Y,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
Y,Afternoon
Y,Afternoon
N,Afternoon
Y,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
Y,Afternoon
N,Night
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
Y,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
Y,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
Y,Afternoon
N,Morning
Y,Morning
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Morning
Y,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Morning
Y,Morning
N,Morning
N,Afternoon
Y,Night
N,Morning
N,Morning
N,Morning
Y,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
Y,Night
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
Y,Afternoon
N,Afternoon
Y,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Afternoon
Y,Morning
N,Afternoon
N,Afternoon
Y,Morning
N,Afternoon
N,Morning
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Morning
Y,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
Y,Night
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
Y,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Morning
Y,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Morning
Y,Night
N,Afternoon
N,Night
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Afternoon
Y,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
Y,Afternoon
N,Afternoon
N,Afternoon
Y,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Night
N,Afternoon
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Night
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
Y,Afternoon
N,Morning
N,Afternoon
N,Morning
Y,Morning
N,Afternoon
N,Night
N,Afternoon
N,Morning
N,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
Y,Afternoon
Y,Morning
Y,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Morning
N,Morning
N,Afternoon
N,Afternoon
Y,Afternoon
N,Morning
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
N,Afternoon
